stock_code,year,industry,roa,revenue_growth,ln_size,leverage,firm_age,source_note
DEMO008,2021,批发零售,0.0314,0.1694,21.928,0.4407,6,脚本生成演示财务数据，仅用于方法演示
DEMO008,2022,批发零售,0.0346,0.0775,21.989,0.4395,7,脚本生成演示财务数据，仅用于方法演示
DEMO008,2023,批发零售,0.0372,-0.0127,22.129,0.4258,8,脚本生成演示财务数据，仅用于方法演示
DEMO008,2024,批发零售,0.0303,0.0444,22.001,0.4079,9,脚本生成演示财务数据，仅用于方法演示
DEMO009,2020,房地产,-0.0103,0.0431,24.025,0.4426,9,脚本生成演示财务数据，仅用于方法演示
DEMO009,2021,房地产,0.0038,0.0506,24.079,0.4191,10,脚本生成演示财务数据，仅用于方法演示
DEMO009,2022,房地产,-0.0324,0.0358,24.169,0.3606,11,脚本生成演示财务数据，仅用于方法演示
DEMO009,2023,房地产,0.0012,0.0652,24.195,0.4412,12,脚本生成演示财务数据，仅用于方法演示
DEMO009,2024,房地产,0.0366,0.0801,24.261,0.4135,13,脚本生成演示财务数据，仅用于方法演示
DEMO010,2020,农林牧渔,0.0047,0.068,23.24,0.5918,5,脚本生成演示财务数据，仅用于方法演示
DEMO010,2021,农林牧渔,0.0116,0.0521,23.259,0.6253,6,脚本生成演示财务数据，仅用于方法演示
DEMO010,2022,农林牧渔,-0.0005,-0.0431,23.334,0.6001,7,脚本生成演示财务数据，仅用于方法演示
DEMO010,2023,农林牧渔,0.0374,0.1717,23.43,0.5687,8,脚本生成演示财务数据，仅用于方法演示
DEMO010,2024,农林牧渔,0.0075,0.0568,23.416,0.5538,9,脚本生成演示财务数据，仅用于方法演示
DEMO011,2020,信息技术,0.0116,0.1906,22.347,0.2949,6,脚本生成演示财务数据，仅用于方法演示
DEMO011,2021,信息技术,0.0453,0.1905,22.322,0.2627,7,脚本生成演示财务数据，仅用于方法演示
DEMO011,2022,信息技术,0.018,0.0098,22.371,0.359,8,脚本生成演示财务数据，仅用于方法演示
DEMO011,2023,信息技术,0.029,0.1699,22.517,0.2692,9,脚本生成演示财务数据，仅用于方法演示
DEMO011,2024,信息技术,0.03,0.216,22.465,0.2286,10,脚本生成演示财务数据，仅用于方法演示
DEMO012,2020,制造业,0.004,0.1089,23.945,0.4033,16,脚本生成演示财务数据，仅用于方法演示
DEMO012,2021,制造业,0.0315,-0.1208,24.037,0.3225,17,脚本生成演示财务数据，仅用于方法演示
DEMO012,2022,制造业,0.0113,-0.0115,23.975,0.4379,18,脚本生成演示财务数据，仅用于方法演示
DEMO012,2023,制造业,-0.0122,0.002,24.064,0.451,19,脚本生成演示财务数据，仅用于方法演示
DEMO012,2024,制造业,0.0239,-0.0093,24.198,0.4447,20,脚本生成演示财务数据，仅用于方法演示
DEMO013,2020,批发零售,-0.0136,0.1067,23.274,0.4379,9,脚本生成演示财务数据，仅用于方法演示
DEMO013,2021,批发零售,0.0333,0.1416,23.295,0.51,10,脚本生成演示财务数据，仅用于方法演示
DEMO013,2022,批发零售,0.0135,0.0297,23.301,0.5299,11,脚本生成演示财务数据，仅用于方法演示
DEMO013,2023,批发零售,-0.0142,0.0915,23.454,0.4124,12,脚本生成演示财务数据，仅用于方法演示
DEMO013,2024,批发零售,0.044,0.0126,23.414,0.4498,13,脚本生成演示财务数据，仅用于方法演示
DEMO014,2020,房地产,0.0169,-0.005,21.09,0.4242,23,脚本生成演示财务数据，仅用于方法演示
DEMO014,2021,房地产,0.0317,0.0606,21.036,0.499,24,脚本生成演示财务数据，仅用于方法演示
DEMO014,2022,房地产,0.0174,0.1296,21.207,0.4954,25,脚本生成演示财务数据，仅用于方法演示
DEMO014,2023,房地产,0.0197,0.0736,21.231,0.5025,26,脚本生成演示财务数据，仅用于方法演示
DEMO014,2024,房地产,-0.0031,0.0079,21.232,0.4718,27,脚本生成演示财务数据，仅用于方法演示
DEMO015,2020,农林牧渔,-0.0033,0.069,21.91,0.3938,16,脚本生成演示财务数据，仅用于方法演示
DEMO015,2021,农林牧渔,-0.003,-0.0716,21.963,0.3407,17,脚本生成演示财务数据，仅用于方法演示
DEMO015,2022,农林牧渔,0.0094,0.1339,22.154,0.3734,18,脚本生成演示财务数据，仅用于方法演示
DEMO015,2023,农林牧渔,0.0213,0.0703,22.233,0.3605,19,脚本生成演示财务数据，仅用于方法演示
DEMO015,2024,农林牧渔,0.0064,0.0909,22.22,0.327,20,脚本生成演示财务数据，仅用于方法演示
DEMO016,2020,信息技术,0.0448,0.0346,21.985,0.2622,22,脚本生成演示财务数据，仅用于方法演示
DEMO016,2021,信息技术,0.005,0.0719,21.894,0.2946,23,脚本生成演示财务数据，仅用于方法演示
DEMO016,2022,信息技术,0.0313,0.144,21.984,0.2655,24,脚本生成演示财务数据，仅用于方法演示
DEMO016,2023,信息技术,0.0181,0.0967,22.067,0.2842,25,脚本生成演示财务数据，仅用于方法演示
DEMO016,2024,信息技术,0.0132,0.1548,22.142,0.289,26,脚本生成演示财务数据，仅用于方法演示
DEMO017,2020,制造业,0.008,-0.0434,23.082,0.3634,13,脚本生成演示财务数据，仅用于方法演示
DEMO017,2021,制造业,0.0214,0.0791,23.026,0.3213,14,脚本生成演示财务数据，仅用于方法演示
DEMO017,2022,制造业,-0.0098,-0.0165,23.185,0.3197,15,脚本生成演示财务数据，仅用于方法演示
DEMO017,2023,制造业,0.0158,0.0427,23.167,0.3186,16,脚本生成演示财务数据，仅用于方法演示
DEMO017,2024,制造业,0.0153,0.1394,23.267,0.3229,17,脚本生成演示财务数据，仅用于方法演示
DEMO018,2020,批发零售,0.0221,0.1018,24.457,0.561,20,脚本生成演示财务数据，仅用于方法演示
DEMO018,2021,批发零售,0.0236,0.2531,24.485,0.5232,21,脚本生成演示财务数据，仅用于方法演示
DEMO018,2022,批发零售,0.0293,0.1045,24.517,0.5639,22,脚本生成演示财务数据，仅用于方法演示
DEMO018,2023,批发零售,0.0378,0.1301,24.644,0.548,23,脚本生成演示财务数据，仅用于方法演示
DEMO018,2024,批发零售,0.0451,0.1561,24.628,0.5959,24,脚本生成演示财务数据，仅用于方法演示
DEMO019,2020,房地产,0.0063,0.1423,23.701,0.3677,22,脚本生成演示财务数据，仅用于方法演示
DEMO019,2021,房地产,-0.0131,0.0765,23.778,0.3035,23,脚本生成演示财务数据，仅用于方法演示
DEMO019,2022,房地产,-0.0029,0.2444,23.815,0.3677,24,脚本生成演示财务数据，仅用于方法演示
DEMO019,2023,房地产,0.003,0.0873,23.88,0.3249,25,脚本生成演示财务数据，仅用于方法演示
DEMO019,2024,房地产,-0.0042,0.1759,23.935,0.3417,26,脚本生成演示财务数据，仅用于方法演示
DEMO020,2020,农林牧渔,0.0327,0.1696,24.564,0.5197,7,脚本生成演示财务数据，仅用于方法演示
DEMO020,2021,农林牧渔,0.0088,0.0785,24.521,0.5013,8,脚本生成演示财务数据，仅用于方法演示
DEMO020,2022,农林牧渔,0.0203,0.0576,24.591,0.567,9,脚本生成演示财务数据，仅用于方法演示
DEMO020,2023,农林牧渔,0.0176,-0.1157,24.595,0.4869,10,脚本生成演示财务数据，仅用于方法演示
DEMO020,2024,农林牧渔,0.077,0.2401,24.768,0.5217,11,脚本生成演示财务数据，仅用于方法演示
DEMO021,2020,信息技术,0.0221,0.2975,21.564,0.6254,9,脚本生成演示财务数据，仅用于方法演示
DEMO021,2021,信息技术,0.0698,0.1352,21.673,0.6308,10,脚本生成演示财务数据，仅用于方法演示
DEMO021,2022,信息技术,0.033,0.1673,21.604,0.6971,11,脚本生成演示财务数据，仅用于方法演示
DEMO021,2023,信息技术,0.0905,0.0726,21.708,0.6918,12,脚本生成演示财务数据，仅用于方法演示
DEMO021,2024,信息技术,0.0744,0.2721,21.753,0.6429,13,脚本生成演示财务数据，仅用于方法演示
DEMO022,2020,制造业,0.0274,0.0909,21.183,0.3075,13,脚本生成演示财务数据，仅用于方法演示
DEMO022,2021,制造业,-0.0209,0.0958,21.219,0.2865,14,脚本生成演示财务数据，仅用于方法演示
DEMO022,2022,制造业,0.0125,0.112,21.39,0.2477,15,脚本生成演示财务数据，仅用于方法演示
DEMO022,2023,制造业,0.0121,-0.0678,21.432,0.2785,16,脚本生成演示财务数据，仅用于方法演示
DEMO022,2024,制造业,0.0331,0.0921,21.424,0.3532,17,脚本生成演示财务数据，仅用于方法演示
DEMO023,2020,批发零售,0.024,0.0255,22.945,0.5953,20,脚本生成演示财务数据，仅用于方法演示
DEMO023,2021,批发零售,0.0089,0.156,22.912,0.6286,21,脚本生成演示财务数据，仅用于方法演示
DEMO023,2022,批发零售,0.0254,-0.0294,22.98,0.6204,22,脚本生成演示财务数据，仅用于方法演示
DEMO023,2023,批发零售,0.0403,0.0557,23.05,0.5942,23,脚本生成演示财务数据，仅用于方法演示
DEMO023,2024,批发零售,0.0087,0.0579,23.132,0.6716,24,脚本生成演示财务数据，仅用于方法演示
DEMO024,2020,房地产,0.022,0.0127,24.761,0.1919,10,脚本生成演示财务数据，仅用于方法演示
DEMO024,2021,房地产,0.0167,0.1621,24.879,0.2005,11,脚本生成演示财务数据，仅用于方法演示
DEMO024,2022,房地产,0.0187,0.0396,24.943,0.2147,12,脚本生成演示财务数据，仅用于方法演示
DEMO024,2023,房地产,0.0106,0.0768,24.964,0.2173,13,脚本生成演示财务数据，仅用于方法演示
DEMO024,2024,房地产,-0.0134,-0.0672,24.964,0.1966,14,脚本生成演示财务数据，仅用于方法演示
DEMO025,2020,农林牧渔,0.0408,0.0561,23.153,0.245,18,脚本生成演示财务数据，仅用于方法演示
DEMO025,2021,农林牧渔,0.0155,-0.0401,23.268,0.311,19,脚本生成演示财务数据，仅用于方法演示
DEMO025,2022,农林牧渔,0.0024,0.0487,23.267,0.2497,20,脚本生成演示财务数据，仅用于方法演示
DEMO025,2023,农林牧渔,0.0239,0.0463,23.322,0.2843,21,脚本生成演示财务数据，仅用于方法演示
DEMO025,2024,农林牧渔,0.0394,0.0125,23.398,0.2555,22,脚本生成演示财务数据，仅用于方法演示
DEMO026,2020,信息技术,0.031,0.0705,22.429,0.4969,8,脚本生成演示财务数据，仅用于方法演示
DEMO026,2021,信息技术,0.0194,0.0903,22.472,0.4398,9,脚本生成演示财务数据，仅用于方法演示
DEMO026,2022,信息技术,0.0233,0.1067,22.532,0.4938,10,脚本生成演示财务数据，仅用于方法演示
DEMO026,2023,信息技术,0.066,0.0312,22.49,0.4612,11,脚本生成演示财务数据，仅用于方法演示
DEMO026,2024,信息技术,0.072,0.1133,22.651,0.5073,12,脚本生成演示财务数据，仅用于方法演示
DEMO027,2020,制造业,-0.0046,0.1607,21.8,0.4351,21,脚本生成演示财务数据，仅用于方法演示
DEMO027,2021,制造业,0.0066,-0.0389,21.873,0.3937,22,脚本生成演示财务数据，仅用于方法演示
DEMO027,2022,制造业,-0.0014,0.071,21.89,0.4031,23,脚本生成演示财务数据，仅用于方法演示
DEMO027,2023,制造业,0.0342,0.0129,21.99,0.4047,24,脚本生成演示财务数据，仅用于方法演示
DEMO027,2024,制造业,0.053,0.2734,22.067,0.4147,25,脚本生成演示财务数据，仅用于方法演示
DEMO028,2020,批发零售,0.0045,0.1686,21.727,0.2305,23,脚本生成演示财务数据，仅用于方法演示
DEMO028,2021,批发零售,-0.01,0.061,21.879,0.2821,24,脚本生成演示财务数据，仅用于方法演示
DEMO028,2022,批发零售,-0.0148,0.009,21.897,0.2801,25,脚本生成演示财务数据，仅用于方法演示
DEMO028,2023,批发零售,-0.0204,0.0707,21.929,0.2909,26,脚本生成演示财务数据，仅用于方法演示
DEMO028,2024,批发零售,0.0387,0.1338,21.989,0.3003,27,脚本生成演示财务数据，仅用于方法演示
DEMO029,2020,房地产,0.017,0.1051,22.427,0.3785,21,脚本生成演示财务数据，仅用于方法演示
DEMO029,2021,房地产,0.0077,0.1483,22.457,0.4138,22,脚本生成演示财务数据，仅用于方法演示
DEMO029,2022,房地产,0.0038,0.2175,22.461,0.3781,23,脚本生成演示财务数据，仅用于方法演示
DEMO029,2023,房地产,-0.0072,0.1027,22.48,0.4339,24,脚本生成演示财务数据，仅用于方法演示
DEMO029,2024,房地产,0.003,-0.0094,22.582,0.4438,25,脚本生成演示财务数据，仅用于方法演示
DEMO030,2020,农林牧渔,0.0311,0.0506,23.99,0.4336,9,脚本生成演示财务数据，仅用于方法演示
DEMO030,2021,农林牧渔,0.0055,-0.0728,24.137,0.4239,10,脚本生成演示财务数据，仅用于方法演示
DEMO030,2022,农林牧渔,0.032,0.0939,24.081,0.4071,11,脚本生成演示财务数据，仅用于方法演示
DEMO030,2023,农林牧渔,0.0265,0.18,24.085,0.4223,12,脚本生成演示财务数据，仅用于方法演示
DEMO030,2024,农林牧渔,0.0146,0.0896,24.239,0.44,13,脚本生成演示财务数据，仅用于方法演示
DEMO031,2020,信息技术,-0.004,0.2176,22.417,0.4753,6,脚本生成演示财务数据，仅用于方法演示
DEMO031,2021,信息技术,0.0488,0.0747,22.475,0.4892,7,脚本生成演示财务数据，仅用于方法演示
DEMO031,2022,信息技术,0.0279,0.1401,22.471,0.4875,8,脚本生成演示财务数据，仅用于方法演示
DEMO031,2023,信息技术,0.0436,0.2654,22.456,0.4843,9,脚本生成演示财务数据，仅用于方法演示
DEMO031,2024,信息技术,0.0528,-0.0247,22.508,0.5074,10,脚本生成演示财务数据，仅用于方法演示
DEMO032,2020,制造业,0.023,0.142,24.434,0.5232,13,脚本生成演示财务数据，仅用于方法演示
DEMO032,2021,制造业,0.0793,0.2256,24.497,0.4434,14,脚本生成演示财务数据，仅用于方法演示
DEMO032,2022,制造业,0.0497,0.1388,24.512,0.467,15,脚本生成演示财务数据，仅用于方法演示
DEMO032,2023,制造业,0.0566,0.257,24.6,0.5059,16,脚本生成演示财务数据，仅用于方法演示
DEMO032,2024,制造业,0.0775,0.2819,24.66,0.4686,17,脚本生成演示财务数据，仅用于方法演示
DEMO033,2020,批发零售,0.0075,0.1104,22.889,0.4406,11,脚本生成演示财务数据，仅用于方法演示
DEMO033,2021,批发零售,0.0039,0.2275,23.003,0.4131,12,脚本生成演示财务数据，仅用于方法演示
DEMO033,2022,批发零售,0.0314,0.0603,23.081,0.3868,13,脚本生成演示财务数据，仅用于方法演示
DEMO033,2023,批发零售,0.0452,0.0101,23.109,0.4625,14,脚本生成演示财务数据，仅用于方法演示
DEMO033,2024,批发零售,0.0347,0.0632,23.158,0.4215,15,脚本生成演示财务数据，仅用于方法演示
DEMO034,2020,房地产,0.0135,0.0957,21.005,0.4478,19,脚本生成演示财务数据，仅用于方法演示
DEMO034,2021,房地产,-0.0405,0.0086,21.03,0.4665,20,脚本生成演示财务数据，仅用于方法演示
DEMO034,2022,房地产,0.0145,-0.0522,21.124,0.4678,21,脚本生成演示财务数据，仅用于方法演示
DEMO034,2023,房地产,0.013,0.0151,21.149,0.4547,22,脚本生成演示财务数据，仅用于方法演示
DEMO034,2024,房地产,0.0047,0.0555,21.224,0.4697,23,脚本生成演示财务数据，仅用于方法演示
DEMO035,2020,农林牧渔,0.0078,-0.0069,22.735,0.4263,16,脚本生成演示财务数据，仅用于方法演示
DEMO035,2021,农林牧渔,0.0194,0.1409,22.857,0.4501,17,脚本生成演示财务数据，仅用于方法演示
DEMO035,2022,农林牧渔,-0.0002,0.2327,22.843,0.4898,18,脚本生成演示财务数据，仅用于方法演示
DEMO035,2023,农林牧渔,-0.0044,-0.0303,23.027,0.4565,19,脚本生成演示财务数据，仅用于方法演示
DEMO035,2024,农林牧渔,0.0339,0.2397,23.04,0.459,20,脚本生成演示财务数据，仅用于方法演示
DEMO036,2020,信息技术,0.0226,0.1183,22.034,0.4389,22,脚本生成演示财务数据，仅用于方法演示
DEMO036,2021,信息技术,0.0361,0.1079,22.012,0.3599,23,脚本生成演示财务数据，仅用于方法演示
DEMO036,2022,信息技术,0.0584,0.1338,22.048,0.3607,24,脚本生成演示财务数据，仅用于方法演示
DEMO036,2023,信息技术,0.0464,0.1257,22.197,0.3474,25,脚本生成演示财务数据，仅用于方法演示
DEMO036,2024,信息技术,0.0137,0.0583,22.151,0.364,26,脚本生成演示财务数据，仅用于方法演示
DEMO037,2020,制造业,0.0198,0.2122,24.59,0.5249,18,脚本生成演示财务数据，仅用于方法演示
DEMO037,2021,制造业,0.0231,0.0678,24.713,0.5025,19,脚本生成演示财务数据，仅用于方法演示
DEMO037,2022,制造业,0.0212,0.0635,24.677,0.539,20,脚本生成演示财务数据，仅用于方法演示
DEMO037,2023,制造业,0.0216,0.1013,24.765,0.5863,21,脚本生成演示财务数据，仅用于方法演示
DEMO037,2024,制造业,0.0325,0.1074,24.832,0.527,22,脚本生成演示财务数据，仅用于方法演示
DEMO038,2020,批发零售,-0.0083,0.1728,21.404,0.4306,23,脚本生成演示财务数据，仅用于方法演示
DEMO038,2021,批发零售,0.0389,-0.0221,21.391,0.4489,24,脚本生成演示财务数据，仅用于方法演示
DEMO038,2022,批发零售,0.0121,0.0677,21.477,0.4246,25,脚本生成演示财务数据，仅用于方法演示
DEMO038,2023,批发零售,0.0423,0.1341,21.422,0.4189,26,脚本生成演示财务数据，仅用于方法演示
DEMO038,2024,批发零售,0.01,0.1731,21.544,0.4496,27,脚本生成演示财务数据，仅用于方法演示
DEMO039,2020,房地产,0.0011,0.1705,24.444,0.2485,23,脚本生成演示财务数据，仅用于方法演示
DEMO039,2021,房地产,-0.0036,0.1181,24.474,0.3448,24,脚本生成演示财务数据，仅用于方法演示
DEMO039,2022,房地产,-0.0118,0.0513,24.571,0.2717,25,脚本生成演示财务数据，仅用于方法演示
DEMO039,2023,房地产,0.0165,0.0094,24.57,0.2308,26,脚本生成演示财务数据，仅用于方法演示
DEMO039,2024,房地产,0.0485,0.0068,24.762,0.3113,27,脚本生成演示财务数据，仅用于方法演示
DEMO040,2020,农林牧渔,0.0104,0.0254,22.696,0.4652,5,脚本生成演示财务数据，仅用于方法演示
DEMO040,2021,农林牧渔,0.0308,0.0578,22.69,0.4372,6,脚本生成演示财务数据，仅用于方法演示
DEMO040,2022,农林牧渔,0.021,0.0834,22.774,0.4762,7,脚本生成演示财务数据，仅用于方法演示
DEMO040,2023,农林牧渔,0.0215,0.0518,22.717,0.3482,8,脚本生成演示财务数据，仅用于方法演示
DEMO040,2024,农林牧渔,0.0129,0.1506,22.817,0.4344,9,脚本生成演示财务数据，仅用于方法演示
DEMO041,2020,信息技术,0.0467,0.2316,21.263,0.4569,13,脚本生成演示财务数据，仅用于方法演示
DEMO041,2021,信息技术,0.07,0.1349,21.232,0.4507,14,脚本生成演示财务数据，仅用于方法演示
DEMO041,2022,信息技术,0.0441,0.0971,21.327,0.4293,15,脚本生成演示财务数据，仅用于方法演示
DEMO041,2023,信息技术,0.0448,0.1279,21.417,0.4926,16,脚本生成演示财务数据，仅用于方法演示
DEMO041,2024,信息技术,0.035,0.1741,21.498,0.4421,17,脚本生成演示财务数据，仅用于方法演示
DEMO042,2020,制造业,0.0059,0.0353,24.578,0.3919,19,脚本生成演示财务数据，仅用于方法演示
DEMO042,2021,制造业,0.0718,0.0297,24.591,0.4179,20,脚本生成演示财务数据，仅用于方法演示
DEMO042,2022,制造业,0.0346,0.1129,24.644,0.4053,21,脚本生成演示财务数据，仅用于方法演示
DEMO042,2023,制造业,-0.0191,0.0569,24.779,0.3344,22,脚本生成演示财务数据，仅用于方法演示
DEMO042,2024,制造业,-0.0296,0.1471,24.819,0.3602,23,脚本生成演示财务数据，仅用于方法演示
DEMO043,2020,批发零售,0.0041,-0.0566,22.032,0.6496,7,脚本生成演示财务数据，仅用于方法演示
DEMO043,2021,批发零售,0.0147,-0.0219,22.125,0.636,8,脚本生成演示财务数据，仅用于方法演示
DEMO043,2022,批发零售,0.0083,0.0542,22.13,0.6337,9,脚本生成演示财务数据，仅用于方法演示
DEMO043,2023,批发零售,0.038,0.0894,22.257,0.6444,10,脚本生成演示财务数据，仅用于方法演示
DEMO043,2024,批发零售,0.0154,-0.0509,22.299,0.6322,11,脚本生成演示财务数据，仅用于方法演示
DEMO044,2020,房地产,-0.0336,0.1282,23.788,0.4758,24,脚本生成演示财务数据，仅用于方法演示
DEMO044,2021,房地产,-0.0126,0.1038,23.821,0.5653,25,脚本生成演示财务数据，仅用于方法演示
DEMO044,2022,房地产,0.0211,0.0645,23.965,0.5425,26,脚本生成演示财务数据，仅用于方法演示
DEMO044,2023,房地产,0.004,0.1058,23.843,0.5706,27,脚本生成演示财务数据，仅用于方法演示
DEMO044,2024,房地产,0.0455,0.0392,23.893,0.4945,28,脚本生成演示财务数据，仅用于方法演示
DEMO045,2020,农林牧渔,-0.0039,-0.0044,22.99,0.5409,16,脚本生成演示财务数据，仅用于方法演示
DEMO045,2021,农林牧渔,-0.0466,0.1011,22.901,0.5583,17,脚本生成演示财务数据，仅用于方法演示
DEMO045,2022,农林牧渔,0.0329,0.0702,23.04,0.5714,18,脚本生成演示财务数据，仅用于方法演示
DEMO045,2023,农林牧渔,-0.0032,0.0358,23.168,0.576,19,脚本生成演示财务数据，仅用于方法演示
DEMO045,2024,农林牧渔,0.0045,0.099,23.024,0.5302,20,脚本生成演示财务数据，仅用于方法演示
DEMO046,2020,信息技术,0.0268,0.1345,24.905,0.6224,9,脚本生成演示财务数据，仅用于方法演示
DEMO046,2021,信息技术,0.0083,0.1761,24.931,0.5713,10,脚本生成演示财务数据，仅用于方法演示
DEMO046,2022,信息技术,0.0062,0.0221,24.96,0.6155,11,脚本生成演示财务数据，仅用于方法演示
DEMO046,2023,信息技术,0.0241,0.0379,24.916,0.6281,12,脚本生成演示财务数据，仅用于方法演示
DEMO046,2024,信息技术,0.0807,0.001,25.064,0.6421,13,脚本生成演示财务数据，仅用于方法演示
DEMO047,2020,制造业,0.0252,0.0262,24.971,0.3546,18,脚本生成演示财务数据，仅用于方法演示
DEMO047,2021,制造业,0.005,0.1334,24.991,0.289,19,脚本生成演示财务数据，仅用于方法演示
DEMO047,2022,制造业,0.0141,0.0551,25.026,0.3449,20,脚本生成演示财务数据，仅用于方法演示
DEMO047,2023,制造业,0.0408,0.261,25.055,0.2751,21,脚本生成演示财务数据，仅用于方法演示
DEMO047,2024,制造业,0.0111,0.0355,25.114,0.2883,22,脚本生成演示财务数据，仅用于方法演示
DEMO048,2020,批发零售,0.0096,0.1391,22.579,0.4689,9,脚本生成演示财务数据，仅用于方法演示
DEMO048,2021,批发零售,0.0249,-0.0546,22.685,0.5029,10,脚本生成演示财务数据，仅用于方法演示
DEMO048,2022,批发零售,0.0177,0.1702,22.769,0.5283,11,脚本生成演示财务数据，仅用于方法演示
DEMO048,2023,批发零售,0.0308,0.0673,22.738,0.5507,12,脚本生成演示财务数据，仅用于方法演示
DEMO048,2024,批发零售,0.0539,0.0127,22.844,0.5136,13,脚本生成演示财务数据，仅用于方法演示
DEMO049,2020,房地产,0.0341,0.1515,24.042,0.2832,21,脚本生成演示财务数据，仅用于方法演示
DEMO049,2021,房地产,0.0248,0.1904,24.169,0.385,22,脚本生成演示财务数据，仅用于方法演示
DEMO049,2022,房地产,0.0344,-0.0764,24.155,0.2838,23,脚本生成演示财务数据，仅用于方法演示
DEMO049,2023,房地产,0.0245,0.2522,24.223,0.3655,24,脚本生成演示财务数据，仅用于方法演示
DEMO049,2024,房地产,0.0192,-0.0355,24.167,0.3344,25,脚本生成演示财务数据，仅用于方法演示
DEMO050,2020,农林牧渔,0.0157,0.027,22.311,0.3376,14,脚本生成演示财务数据，仅用于方法演示
DEMO050,2021,农林牧渔,0.0175,-0.0126,22.371,0.3366,15,脚本生成演示财务数据，仅用于方法演示
DEMO050,2022,农林牧渔,-0.0004,0.2217,22.405,0.352,16,脚本生成演示财务数据，仅用于方法演示
