stock_code,firm_name,industry,year,cnt_人工智能,cnt_大数据,cnt_云计算,cnt_区块链,cnt_数字技术应用,digital_total,n_tokens,digital_ratio,Digital
DEMO032,演示DEMO032股份有限公司,制造业,2021,4,3,1,1,3,12,246,0.04878048780487805,2.5649493574615367
DEMO032,演示DEMO032股份有限公司,制造业,2022,6,4,0,6,5,21,299,0.07023411371237458,3.091042453358316
DEMO032,演示DEMO032股份有限公司,制造业,2023,4,3,0,1,3,11,245,0.044897959183673466,2.4849066497880004
DEMO032,演示DEMO032股份有限公司,制造业,2024,6,2,5,6,3,22,295,0.07457627118644068,3.1354942159291497
DEMO033,演示DEMO033股份有限公司,批发零售,2020,1,0,0,1,2,4,150,0.02666666666666667,1.6094379124341003
DEMO033,演示DEMO033股份有限公司,批发零售,2021,0,0,0,1,7,8,164,0.04878048780487805,2.1972245773362196
DEMO033,演示DEMO033股份有限公司,批发零售,2022,1,1,0,0,0,2,125,0.016,1.0986122886681098
DEMO033,演示DEMO033股份有限公司,批发零售,2023,2,0,1,3,2,8,176,0.045454545454545456,2.1972245773362196
DEMO033,演示DEMO033股份有限公司,批发零售,2024,5,0,0,2,0,7,165,0.04242424242424243,2.0794415416798357
DEMO034,演示DEMO034股份有限公司,房地产,2020,0,0,1,0,0,1,99,0.010101010101010102,0.6931471805599453
DEMO034,演示DEMO034股份有限公司,房地产,2021,1,0,0,0,0,1,127,0.007874015748031496,0.6931471805599453
DEMO034,演示DEMO034股份有限公司,房地产,2022,1,0,0,1,0,2,98,0.02040816326530612,1.0986122886681098
DEMO034,演示DEMO034股份有限公司,房地产,2023,0,0,0,0,0,0,127,0.0,0.0
DEMO034,演示DEMO034股份有限公司,房地产,2024,0,0,0,0,0,0,64,0.0,0.0
DEMO035,演示DEMO035股份有限公司,农林牧渔,2020,1,0,0,1,1,3,127,0.023622047244094488,1.3862943611198906
DEMO035,演示DEMO035股份有限公司,农林牧渔,2021,2,1,0,0,0,3,101,0.0297029702970297,1.3862943611198906
DEMO035,演示DEMO035股份有限公司,农林牧渔,2022,0,0,0,1,0,1,94,0.010638297872340425,0.6931471805599453
DEMO035,演示DEMO035股份有限公司,农林牧渔,2023,0,0,0,0,0,0,80,0.0,0.0
DEMO035,演示DEMO035股份有限公司,农林牧渔,2024,2,1,1,0,2,6,166,0.03614457831325301,1.9459101490553132
DEMO036,演示DEMO036股份有限公司,信息技术,2020,3,1,0,5,1,10,203,0.04926108374384237,2.3978952727983707
DEMO036,演示DEMO036股份有限公司,信息技术,2021,4,4,0,0,2,10,189,0.05291005291005291,2.3978952727983707
DEMO036,演示DEMO036股份有限公司,信息技术,2022,3,3,2,4,2,14,210,0.06666666666666667,2.70805020110221
DEMO036,演示DEMO036股份有限公司,信息技术,2023,5,2,2,4,3,16,225,0.07111111111111111,2.833213344056216
DEMO036,演示DEMO036股份有限公司,信息技术,2024,3,2,1,3,2,11,212,0.05188679245283019,2.4849066497880004
DEMO037,演示DEMO037股份有限公司,制造业,2020,3,0,0,0,3,6,157,0.03821656050955414,1.9459101490553132
DEMO037,演示DEMO037股份有限公司,制造业,2021,3,3,0,4,0,10,175,0.05714285714285714,2.3978952727983707
DEMO037,演示DEMO037股份有限公司,制造业,2022,1,5,1,0,1,8,193,0.04145077720207254,2.1972245773362196
DEMO037,演示DEMO037股份有限公司,制造业,2023,2,1,1,2,1,7,157,0.044585987261146494,2.0794415416798357
DEMO037,演示DEMO037股份有限公司,制造业,2024,3,5,2,0,6,16,240,0.06666666666666667,2.833213344056216
DEMO038,演示DEMO038股份有限公司,批发零售,2020,0,0,0,0,1,1,126,0.007936507936507936,0.6931471805599453
DEMO038,演示DEMO038股份有限公司,批发零售,2021,0,0,0,0,0,0,115,0.0,0.0
DEMO038,演示DEMO038股份有限公司,批发零售,2022,0,0,1,0,2,3,109,0.027522935779816515,1.3862943611198906
DEMO038,演示DEMO038股份有限公司,批发零售,2023,1,1,0,0,2,4,104,0.038461538461538464,1.6094379124341003
DEMO038,演示DEMO038股份有限公司,批发零售,2024,1,1,0,0,0,2,140,0.014285714285714285,1.0986122886681098
DEMO039,演示DEMO039股份有限公司,房地产,2020,0,0,0,1,0,1,92,0.010869565217391304,0.6931471805599453
DEMO039,演示DEMO039股份有限公司,房地产,2021,0,0,0,0,0,0,92,0.0,0.0
DEMO039,演示DEMO039股份有限公司,房地产,2022,0,0,0,0,1,1,123,0.008130081300813009,0.6931471805599453
DEMO039,演示DEMO039股份有限公司,房地产,2023,0,0,0,1,0,1,132,0.007575757575757576,0.6931471805599453
DEMO039,演示DEMO039股份有限公司,房地产,2024,2,0,0,0,1,3,145,0.020689655172413793,1.3862943611198906
DEMO040,演示DEMO040股份有限公司,农林牧渔,2020,0,0,0,0,0,0,94,0.0,0.0
DEMO040,演示DEMO040股份有限公司,农林牧渔,2021,2,2,0,0,0,4,112,0.03571428571428571,1.6094379124341003
DEMO040,演示DEMO040股份有限公司,农林牧渔,2022,0,0,0,0,1,1,110,0.00909090909090909,0.6931471805599453
DEMO040,演示DEMO040股份有限公司,农林牧渔,2023,0,2,0,1,0,3,138,0.021739130434782608,1.3862943611198906
DEMO040,演示DEMO040股份有限公司,农林牧渔,2024,0,0,0,1,1,2,100,0.02,1.0986122886681098
DEMO041,演示DEMO041股份有限公司,信息技术,2020,4,2,3,2,2,13,220,0.05909090909090909,2.6390573296152584
DEMO041,演示DEMO041股份有限公司,信息技术,2021,5,1,0,6,5,17,285,0.05964912280701754,2.8903717578961645
DEMO041,演示DEMO041股份有限公司,信息技术,2022,6,4,1,6,3,20,285,0.07017543859649122,3.044522437723423
DEMO041,演示DEMO041股份有限公司,信息技术,2023,6,6,2,1,6,21,309,0.06796116504854369,3.091042453358316
DEMO041,演示DEMO041股份有限公司,信息技术,2024,6,1,2,5,6,20,280,0.07142857142857142,3.044522437723423
DEMO042,演示DEMO042股份有限公司,制造业,2020,1,2,3,0,4,10,190,0.05263157894736842,2.3978952727983707
DEMO042,演示DEMO042股份有限公司,制造业,2021,6,2,0,1,2,11,244,0.045081967213114756,2.4849066497880004
DEMO042,演示DEMO042股份有限公司,制造业,2022,2,6,2,0,4,14,210,0.06666666666666667,2.70805020110221
DEMO042,演示DEMO042股份有限公司,制造业,2023,5,3,0,1,2,11,224,0.049107142857142856,2.4849066497880004
DEMO042,演示DEMO042股份有限公司,制造业,2024,4,3,2,3,2,14,245,0.05714285714285714,2.70805020110221
DEMO043,演示DEMO043股份有限公司,批发零售,2020,3,0,0,1,0,4,139,0.02877697841726619,1.6094379124341003
DEMO043,演示DEMO043股份有限公司,批发零售,2021,1,1,0,0,1,3,135,0.022222222222222223,1.3862943611198906
DEMO043,演示DEMO043股份有限公司,批发零售,2022,2,0,3,1,0,6,143,0.04195804195804196,1.9459101490553132
DEMO043,演示DEMO043股份有限公司,批发零售,2023,1,1,2,1,2,7,174,0.040229885057471264,2.0794415416798357
DEMO043,演示DEMO043股份有限公司,批发零售,2024,3,2,1,1,3,10,158,0.06329113924050633,2.3978952727983707
DEMO044,演示DEMO044股份有限公司,房地产,2020,0,0,0,0,2,2,104,0.019230769230769232,1.0986122886681098
DEMO044,演示DEMO044股份有限公司,房地产,2021,0,0,0,2,0,2,115,0.017391304347826087,1.0986122886681098
DEMO044,演示DEMO044股份有限公司,房地产,2022,0,3,0,3,1,7,131,0.05343511450381679,2.0794415416798357
DEMO044,演示DEMO044股份有限公司,房地产,2023,1,0,0,0,4,5,157,0.03184713375796178,1.791759469228055
DEMO044,演示DEMO044股份有限公司,房地产,2024,0,2,0,1,3,6,122,0.04918032786885246,1.9459101490553132
DEMO045,演示DEMO045股份有限公司,农林牧渔,2020,0,0,0,0,0,0,96,0.0,0.0
DEMO045,演示DEMO045股份有限公司,农林牧渔,2021,0,0,0,0,0,0,76,0.0,0.0
DEMO045,演示DEMO045股份有限公司,农林牧渔,2022,0,1,0,0,0,1,118,0.00847457627118644,0.6931471805599453
DEMO045,演示DEMO045股份有限公司,农林牧渔,2023,0,0,0,0,0,0,106,0.0,0.0
DEMO045,演示DEMO045股份有限公司,农林牧渔,2024,0,0,0,2,1,3,145,0.020689655172413793,1.3862943611198906
DEMO046,演示DEMO046股份有限公司,信息技术,2020,1,4,1,1,4,11,235,0.04680851063829787,2.4849066497880004
DEMO046,演示DEMO046股份有限公司,信息技术,2021,2,3,0,2,3,10,199,0.05025125628140704,2.3978952727983707
DEMO046,演示DEMO046股份有限公司,信息技术,2022,3,1,0,5,2,11,183,0.060109289617486336,2.4849066497880004
DEMO046,演示DEMO046股份有限公司,信息技术,2023,5,3,3,6,1,18,289,0.06228373702422145,2.9444389791664403
DEMO046,演示DEMO046股份有限公司,信息技术,2024,1,0,3,0,5,9,203,0.04433497536945813,2.302585092994046
DEMO047,演示DEMO047股份有限公司,制造业,2020,0,2,0,1,1,4,139,0.02877697841726619,1.6094379124341003
DEMO047,演示DEMO047股份有限公司,制造业,2021,2,3,1,1,1,8,170,0.047058823529411764,2.1972245773362196
DEMO047,演示DEMO047股份有限公司,制造业,2022,1,0,0,2,1,4,165,0.024242424242424242,1.6094379124341003
DEMO047,演示DEMO047股份有限公司,制造业,2023,4,0,0,2,1,7,175,0.04,2.0794415416798357
DEMO047,演示DEMO047股份有限公司,制造业,2024,4,2,0,4,1,11,185,0.05945945945945946,2.4849066497880004
DEMO048,演示DEMO048股份有限公司,批发零售,2020,0,1,2,2,1,6,162,0.037037037037037035,1.9459101490553132
